종목코드,종목명,현재가,베타계수,60일전가격,변동성,수익률,적합도
A000070,삼양홀딩스,99000,1.029999971,112000,0.022276276,-11.59669538,2137.909228
A000080,하이트진로,30450,0.75,33000,0.017840426,-10.69194491,1767.307427
A000100,유한양행,64600,0.600000024,60900,0.014701738,-11.52781404,1665.578785
A000120,CJ대한통운,129500,0.529999971,156500,0.014852398,-12.59568962,1273.381436
A000150,두산,117500,1.429999948,98000,0.039808541,-11.13504835,1290.385637
A000210,DL,63900,1.070000052,73600,0.018373098,-11.13874161,3391.585801
A000240,한국앤컴퍼니,16150,0.939999998,15750,0.01823243,-9.726471051,2658.071025
A000270,기아,85100,1.169999957,81400,0.018384006,-11.15012684,4050.33912
A000660,SK하이닉스,128000,1.24000001,100000,0.021131364,-11.29781408,3443.406566
A000670,영풍,664000,0.819999993,672000,0.016949883,-13.61646457,2340.422498
A000720,현대건설,45350,1.389999986,51500,0.017926529,-10.52003335,6012.251855
A000810,삼성화재,216000,0.720000029,231500,0.015486736,-12.68083918,2161.450237
A000880,한화,31950,1.269999981,34150,0.016117469,-10.19950098,6208.886839
A000990,DB하이텍,71000,1.340000033,53300,0.027174117,-10.59102197,2431.637013
A001040,CJ,84700,1.110000014,98000,0.015814039,-11.38836273,4926.748237
A001120,LX인터내셔널,27250,1.210000038,33100,0.029273933,-10.21666817,1708.474961
A001230,동국제강,16050,1.399999976,18450,0.026325233,-9.48634743,2828.209813
A001440,대한전선,1750,1.080000043,2440,0.031726143,-7.722792237,1158.812032
A001450,현대해상,24750,0.610000014,25350,0.017339139,-10.63483031,1237.669349
A001680,대상,23450,0.800000012,23800,0.012459614,-10.3005844,4122.596126
A001740,SK네트웍스,5040,0.850000024,5130,0.010758912,-8.70537984,6241.675774
A001800,오리온홀딩스,16250,0.850000024,16600,0.013573784,-9.879676876,3921.353691
A002350,넥센타이어,6710,0.970000029,7630,0.021778007,-8.970302302,1983.842673
A002380,KCC,308000,1.220000029,435000,0.025438294,-12.78425043,2300.084118
A002790,아모레G,45700,1.029999971,49750,0.019388068,-10.78520697,2822.314207
A003000,부광약품,12900,0.74000001,20600,0.026556185,-10.23415143,776.4832274
A003090,대웅,31300,1.330000043,32800,0.024131018,-10.11300482,3037.749987
A003240,태광산업,994000,0.899999976,1123000,0.017952216,-14.03687478,2513.326155
A003410,쌍용C&E,7890,0.600000024,8010,0.010455331,-9.499271624,3293.26745
A003490,대한항공,29200,1.429999948,33500,0.015931884,-10.06162631,8056.339852
A003520,영진약품,5180,1.029999971,5020,0.031080425,-8.491626438,1098.248251
A003550,LG,82500,1.090000033,90300,0.019031776,-11.32471501,3280.155286
